,Date,Open,High,Low,Close,Volume,Volatility
0,2021-04-26,49066.76,50841.96,48753.44,50815.96,4584.953314,0.042564864686398626
1,2021-04-25,50047.84,50567.91,46930.0,49066.77,58255.645004,0.07268865149824655
2,2021-04-24,51110.56,51166.22,48657.14,50047.84,55361.512573,0.049091224983643336
3,2021-04-23,51690.95,52131.85,47500.0,51125.14,132230.780719,0.08960659457796769
4,2021-04-22,53787.62,55521.48,50500.0,51690.96,104656.631337,0.09335754212586471
5,2021-04-21,56425.0,56757.91,53536.02,53787.63,66984.756909,0.05710039875941527
6,2021-04-20,55633.14,57076.24,53329.96,56425.0,72744.482151,0.06733899974008296
7,2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.042267,0.058864281591401245
8,2021-04-18,60006.67,60499.0,50931.3,56150.01,124882.131824,0.15944394181513483
9,2021-04-17,61334.81,62506.05,59580.91,60006.66,58912.256128,0.04769135177886749
10,2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.139884,0.0557422456496124
11,2021-04-15,62959.53,63800.0,62020.0,63159.98,51649.70034,0.028272129731591072
12,2021-04-14,63575.01,64854.0,61301.0,62959.53,82616.343993,0.055886739144830645
13,2021-04-13,59860.01,63777.77,59805.15,63575.0,82848.688746,0.06636517434594473
14,2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.037117,0.032490816482996385
15,2021-04-11,59769.13,60699.0,59232.52,60002.43,41156.715391,0.024535742782269096
16,2021-04-10,58142.55,61500.0,57900.01,59769.13,69906.424117,0.06191661700424212
17,2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911,0.02136627046058443
18,2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.147019,0.04384556159549793
19,2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659,0.05487150118735928
20,2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.000727,0.03521427958976488
21,2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579,0.04285470553336566
22,2021-04-04,57051.95,58492.85,56388.0,58202.01,41314.081973,0.0368935680550796
23,2021-04-03,58950.01,59791.72,56880.0,57051.94,47409.852113,0.04939303657454852
24,2021-04-02,58720.45,60200.0,58428.57,58950.01,47382.418781,0.030167173446388786
25,2021-04-01,58739.46,59490.0,57935.45,58720.44,47415.61722,0.026465173496658004
26,2021-03-31,58746.57,59800.0,56769.0,58740.55,60975.542666,0.05159450160239142
27,2021-03-30,57635.46,59368.0,57071.35,58746.57,55122.443122,0.03984786449175562
28,2021-03-29,55777.65,58405.82,54800.01,57635.47,67857.937398,0.06464614410969263
29,2021-03-28,55817.14,56559.75,54691.84,55777.63,39050.387511,0.03346481027154031
30,2021-03-27,55025.59,56700.36,53950.0,55817.14,50105.475055,0.049983289593078434
31,2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.774692,0.07523056401770352
32,2021-03-25,52303.66,53287.0,50427.56,51293.78,87400.534538,0.05466997911809617
33,2021-03-24,54342.8,57200.0,51700.0,52303.65,83537.465021,0.10120935984159815
34,2021-03-23,54083.25,55830.9,53000.0,54340.89,59789.365427,0.05234337803293999
35,2021-03-22,57351.56,58430.73,53650.0,54083.25,62581.626169,0.08335832538818479
36,2021-03-21,58100.02,58589.1,55450.11,57351.56,48564.470274,0.054027348011239894
37,2021-03-20,58030.01,59880.0,57820.17,58102.28,44476.941776,0.03549594425367154
38,2021-03-19,57641.0,59468.0,56270.74,58030.01,52392.652961,0.05546850332228799
39,2021-03-18,58912.97,60129.97,57023.0,57648.16,66580.406675,0.05273830193928435
40,2021-03-17,56900.74,58974.73,54123.69,58912.97,70421.620841,0.0852544272710689
41,2021-03-16,55605.2,56938.29,53271.34,56900.75,77986.694355,0.06594617050203946
42,2021-03-15,58976.08,60633.43,54600.0,55605.2,102771.427298,0.10230300148806093
43,2021-03-14,61188.38,61724.79,58966.78,58968.31,52601.05275,0.04507408105918154
44,2021-03-13,57221.72,61844.0,56078.23,61188.39,83245.091346,0.10076191348320178
45,2021-03-12,57773.15,58081.51,54962.84,57221.72,73405.406047,0.05398130446409804
46,2021-03-11,55851.59,58150.0,54272.82,57773.16,81914.812859,0.06941933076569531
47,2021-03-10,54874.67,57387.69,53005.0,55851.59,84749.238943,0.07986726845008822
48,2021-03-09,52375.18,54895.0,51789.41,54884.5,71656.737076,0.05929507068042528
49,2021-03-08,50959.11,52402.78,49274.67,52375.17,66987.359664,0.06138470628706036
50,2021-03-07,48882.2,51450.03,48882.2,50971.75,55235.028032,0.052530982648080524
51,2021-03-06,48746.81,49200.0,47070.0,48882.2,44399.234242,0.043695166924769026
52,2021-03-05,48374.09,49448.93,46300.0,48751.71,78192.496372,0.06509538474005404
53,2021-03-04,50349.37,51773.88,47500.0,48374.09,82649.716829,0.0848844781970459
54,2021-03-03,48436.61,52640.0,48100.71,50349.37,81035.913705,0.09371609615123769
55,2021-03-02,49595.76,50200.0,47047.6,48440.65,64221.06214,0.06356188512889008
56,2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.111648,0.10722422575741498
57,2021-02-28,46103.67,46638.46,43000.0,45135.66,83055.369042,0.07891909689619067
58,2021-02-27,46276.88,48394.0,45000.0,46106.43,66060.834292,0.07334115869522752
59,2021-02-26,47073.73,48424.11,44106.78,46276.87,109423.200663,0.09171421087727702
